Year;Month;SoilMoisture;Precipitation;Temperature;WindSpeed
2014;January;25,26278105;107,8;3,797285531;0,643303457
2014;February;26,75034714;134,8;5,7408;0,860714286
2014;March;26,80406785;51,2;9,84030303;0,698129117
2014;April;25,6813985;64,6;13,1886921;0,494836512
2014;May;28,12463092;140,4;16,11903947;0,407789474
2014;June;22,14517917;12,8;20,88715161;0,258116386
2014;July;21,15077734;66,8;21,94703557;0,283214756
2014;August;22,09066579;31,6;21,04671053;0,185407895
2014;September;24,77892449;84;17,19602721;0,19847619
2014;October;26,10341634;57,6;13,1928195;0,365270092
2014;November;25,23968564;12;8,013468835;0,521084011
2014;December;27,2301125;45,2;3,357368421;0,588644737
2015;January;28,01534519;40,2;2,659525692;0,54886693
2015;February;28,17985505;68,2;2,41136164;0,471771596
2015;March;27,77186162;50,8;6,919372694;0,800295203
2015;April;24,63058292;26,8;12,26380109;0,599114441
2015;May;23,85187632;97,4;18,00955026;0,22457672
2015;June;24,34516304;31;20,8634375;0,181820652
2015;July;20,77918707;4,4;24,72551905;0,153894737
2015;August;19,59232232;72;23,96652576;0,170607662
2015;September;19,75056267;48,4;18,77192837;0,24969697
2015;October;20,69775033;31;11,1125498;0,298406375
2015;November;21,69010204;31,8;7,814653061;0,399142857
2015;December;25,31939314;17,8;3,051794195;0,203641161
2016;January;25,34254868;40;0,969289474;0,516907895
2016;February;27,08826896;34,8;7,162947814;0,784724965
2016;March;27,75331239;37,8;7,837565789;0,605460526
2016;April;24,90298641;13,2;14,1426087;0,419171196
2016;May;26,77801053;0;16,47226316;0,249223684
2016;June;28,6006916;45,4;21,29865306;0,176870748
2016;July;25,22342321;9,2;22,75099346;0,185072084
2016;August;21,35291531;0,4;20,99310935;0,162621871
2016;September;19,7883704;0;18,42748977;0,133165075
2016;October;21,68629598;0;10,20480896;0,342028986
2016;November;26,34799932;4,2;6,046144414;0,55873297
2016;December;24,62618421;12,2;-0,287276316;0,552802632
2017;January;22,72810907;13,6;-4,86;0,539264126
2017;February;25,18344932;13,4;3,925962099;0,620306122
2017;March;25,79331579;26,4;10,05030263;0,689947368
2017;April;23,37010286;42;11,40569482;0,514713896
2017;May;22,99218397;68,8;17,63609724;0,309697766
2017;June;20,73797554;14,2;23,13476902;0,200013587
2017;July;19,86250856;4,8;24,26444005;0,274097497
2017;August;19,07641107;1;24,594361;0,244189723
2017;September;18,3322752;0,4;17,14194823;0,290667575
2017;October;18,81384888;9,8;12,56672799;0,354507227
2017;November;21,17571983;13,8;7,051907357;0,446408163
2017;December;26,06965987;58,8;3,439868248;0,790065876
2018;January;26,31148686;31;3,7478318;0,703285151
2018;February;26,99349196;64;1,028991228;0,735921053
2018;March;27,33009618;68,4;4,85428195;0,819459816
2018;April;25,65335434;31,2;16,75626016;0,70972863
2018;May;20,38120603;10;19,96477632;0,406223684
2018;June;20,07472442;0;21,26799454;0,35792633
2018;July;20,42095407;0,8;22,27770039;0,378633377
2018;August;20,18591176;5;24,06066841;0,32781866
2018;September;18,19666644;3,6;18,76599185;0,373532609
2018;October;16,92323435;2;14,60287617;0,546058589
2018;November;15,96588095;15,6;7,722054422;0,564462585
2018;December;18,42025462;22,6;1,70176781;0,596543536
2019;January;25,2805947;24,4;-0,048529801;0,727615894
2019;February;26,03257591;7,8;4,248671533;0,815635036
2019;March;24,32377177;8,8;10,07980211;0,749248021
2019;April;22,83042459;74,4;13,08974185;0,683491848
2019;May;24,62985112;153,8;14,5688274;0,435599473
2019;June;25,35536153;80,8;22,86950887;0,129727149
2019;July;21,84630383;14,4;22,78498018;0,255680317
2019;August;19,40425132;50,8;23,80730159;0,265820106
2019;September;18,10805584;39,8;18,15607337;0,258111413
2019;October;18,31686991;12,6;13,7778975;0,213166886
2019;November;18,54694769;39;10,66433424;0,840584239
2019;December;23,91640184;60,8;4,172279315;0,458247694
2020;January;24,98187517;15,8;0,185970938;0,235878468
2020;February;25,98176127;34,8;6,330408451;0,854056338
2020;March;25,4236008;34;7,833551402;0,550386667
2020;April;22,9471373;5,2;12,58203552;0,408784153
2020;May;19,98871457;22,6;15,81781746;0,313148148
2020;June;21,11807992;70,6;20,35375683;0,364262295
2020;July;22,06820778;46,2;22,46927441;0,150672823
2020;August;20,36727543;75,6;23,50352708;0,286155878
2020;September;18,53832742;28,2;19,22038199;0,389318801
2020;October;22,12488992;67,2;12,79972332;0,219986825
2020;November;24,99474863;7;6,367581967;0,090163934
2020;December;24,70346908;25;4,614736048;0,692503771
